 181500      'N1COIL'  'C79'     'C139'     'C199'     'C259'     'C319'      'C19'  
'PSF6NA    '   0.0   1.071e-07  9.106e-08  9.295e-08  1.033e-07  7.318e-08  1.185e-07
'PSF7NA    '   0.0   0.000      0.000      0.000      0.000      0.000      0.000    
'PSF8A     '   0.0   3.896e-08  4.030e-08  3.920e-08  2.943e-08  3.600e-08  3.468e-08
'PSF9A     '   0.0   8.007e-08  8.501e-08  8.285e-08  6.458e-08  7.242e-08  7.304e-08
'PSF1B     '   0.0  -6.329e-09 -7.844e-09 -7.160e-09 -6.267e-09 -7.239e-09 -6.230e-09
'PSF2B     '   0.0  -1.292e-08 -1.476e-08 -1.185e-08 -1.159e-08 -1.157e-08 -1.344e-08
'PSF3B     '   0.0  -1.874e-08 -1.871e-08 -1.846e-08 -1.440e-08 -1.611e-08 -1.751e-08
'PSF4B     '   0.0  -1.814e-08 -1.816e-08 -1.679e-08 -1.437e-08 -1.614e-08 -1.775e-08
'PSF5B     '   0.0  -2.766e-08 -2.904e-08 -2.784e-08 -2.253e-08 -2.286e-08 -2.758e-08
'PSF6NB    '   0.0  -1.756e-07 -2.032e-07 -1.605e-07 -1.164e-07 -1.688e-07 -1.275e-07
'PSF7NB    '   0.0  -2.081e-07 -2.276e-07 -2.029e-07 -1.627e-07 -1.848e-07 -1.852e-07
'PSF8B     '   0.0  -4.390e-08 -4.546e-08 -4.452e-08 -3.652e-08 -3.821e-08 -4.272e-08
'PSF9B     '   0.0  -8.589e-08 -8.993e-08 -8.545e-08 -6.933e-08 -7.771e-08 -8.216e-08
'PSI11M    '   0.0  -3.268e-09 -4.025e-09 -3.773e-09 -2.834e-09 -3.974e-09 -3.508e-09
'PSI12A    '   0.0   4.145e-09  4.024e-09  4.372e-09  3.798e-09  3.384e-09  3.619e-09
'PSI23A    '   0.0   1.132e-08  1.264e-08  1.236e-08  9.259e-09  9.251e-09  9.238e-09
'PSI34A    '   0.0   1.936e-08  2.098e-08  1.978e-08  1.617e-08  1.877e-08  1.661e-08
'PSI45A    '   0.0   2.090e-08  2.260e-08  2.136e-08  1.653e-08  1.944e-08  1.812e-08
'PSI58A    '   0.0   3.093e-08  3.219e-08  3.131e-08  2.425e-08  2.781e-08  2.678e-08
'PSI9A     '   0.0   8.288e-08  8.430e-08  8.444e-08  6.643e-08  7.479e-08  7.571e-08
'PSF7FA    '   0.0   1.776e-07  1.787e-07  1.783e-07  1.387e-07  1.501e-07  1.607e-07
'PSI7A     '   0.0   1.680e-07  1.659e-07  1.650e-07  1.361e-07  1.410e-07  1.561e-07
