 181613      'BTI66M053'
 'PSI2L     '    6.79e-04
 'PSI3L     '    7.89e-04
 112444       'BTI66M053 '
 'MPI11M067 '    4.26e-03
 'MPI1A067  '   -0.00e+00
 'MPI2A067  '    1.41e-03
 'MPI3A067  '   -0.00e+00
 'MPI4A067  '   -0.00e+00
 'MPI5A067  '   -0.00e+00
 'MPI8A067  '   -0.00e+00
 'MPI9A067  '   -0.00e+00
 'MPI79A067 '   -0.00e+00
 'MPI7FA067 '   -0.00e+00
 'MPI7NA067 '   -0.00e+00
 'MPI67A067 '   -2.97e-02
 'MPI6FA067 '   -0.00e+00
 'MPI6NA067 '   -0.00e+00
 'MPI66M067 '   -2.07e-02
 'MPI1B067  '   -0.00e+00
 'MPI2B067  '   -1.47e-02
 'MPI3B067  '   -0.00e+00
 'MPI4B067  '   -0.00e+00
 'MPI5B067  '   -0.00e+00
 'MPI8B067  '   -0.00e+00
 'MPI89B067 '   -0.00e+00
 'MPI9B067  '   -0.00e+00
 'MPI79B067 '   -0.00e+00
 'MPI7FB067 '   -0.00e+00
 'MPI7NB067 '   -0.00e+00
 'MPI67B067 '   -6.42e-03
 'MPI6FB067 '   -0.00e+00
 'MPI6NB067 '   -0.00e+00
 'MPI8A322  '   -3.86e-03
 'MPI89A322 '   -2.65e-03
 'MPI9A322  '    5.39e-03
 'MPI79FA322'    1.93e-03
 'MPI79NA322'    3.74e-03
 'MPI7FA322 '    4.59e-03
 'MPI7NA322 '    4.25e-05
 'MPI67A322 '    8.57e-04
 'MPI6FA322 '    6.59e-04
 'MPI6NA322 '   -7.24e-04
 'MPI66M322 '    5.05e-03
 'MPI6NB322 '    1.16e-03
 'MPI6FB322 '   -3.36e-03
 'MPI67B322 '   -3.73e-03
 'MPI7NB322 '   -1.62e-02
 'MPI7FB322 '   -7.93e-04
 'MPI79B322 '    1.31e-02
 'MPI9B322  '    6.28e-03
 'MPI89B322 '   -5.11e-03
 'MPI8B322  '   -3.52e-03
 'MPI5B322  '   -1.13e-03
 'MPI4B322  '   -1.25e-02
 'MPI3B322  '    1.66e-02
 'MPI2B322  '   -7.08e-03
 'MPI1B322  '   -7.19e-03
 'MPI11M322 '    1.12e-04
 'MPI1A322  '    1.62e-04
 'MPI2A322  '    1.27e-03
 'MPI3A322  '    4.90e-03
 'MPI4A322  '    1.75e-03
 'MPI5A322  '   -1.49e-03
 'MPI1U157  '   -1.32e-02
 'MPI2U157  '    3.78e-02
 'MPI3U157  '   -7.62e-02
 'MPI4U157  '   -2.85e-02
 'DSL1U180  '   -1.17e-02
 'DSL2U180  '    7.14e-03
 'DSL3U180  '   -4.15e-03
 'DSL4U157  '    8.24e-03
 'MPI5U157  '   -7.41e-02
 'MPI6U157  '   -3.03e-02
 'MPI7U157  '   -2.05e-02
 'DSL5U157  '    5.19e-03
 'DSL6U157  '    9.06e-07
 'PSF1A     '   -1.14e-04
 'PSF2A     '   -1.11e-04
 'PSF3A     '   -1.26e-04
 'PSF4A     '   -1.11e-05
 'PSF5A     '    1.43e-04
 'PSF6NA    '    3.43e-04
 'PSF7NA    '    6.00e-04
 'PSF8A     '    3.67e-04
 'PSF9A     '    6.44e-04
 'PSF1B     '    1.07e-04
 'PSF2B     '    4.35e-04
 'PSF3B     '    2.96e-04
 'PSF4B     '    4.20e-04
 'PSF5B     '    5.92e-04
 'PSF6NB    '    1.22e-03
 'PSF7NB    '    3.08e-04
 'PSF8B     '    9.32e-04
 'PSF9B     '    8.61e-04
 'PSI11M    '   -2.68e-05
 'PSI12A    '   -1.52e-04
 'PSI23A    '   -3.96e-04
 'PSI34A    '   -2.94e-04
 'PSI45A    '   -3.63e-04
 'PSI58A    '    2.64e-06
 'PSI9A     '    5.34e-04
 'PSF7FA    '    1.16e-03
 'PSI7A     '    5.62e-04
 'PSF6FA    '    8.48e-04
 'PSI6A     '    3.34e-04
 'PSI12B    '   -1.16e-05
 'PSI23B    '   -1.01e-05
 'PSI34B    '    2.79e-04
 'PSI45B    '    2.81e-04
 'PSI58B    '    5.24e-04
 'PSI9B     '    7.10e-04
 'PSF7FB    '    4.26e-04
 'PSI7B     '    3.12e-04
 'PSF6FB    '    9.33e-04
 'PSI6B     '    7.09e-04
 'PSI89FB   '    7.11e-04
 'PSI89NB   '    8.53e-04
  50000        'BTI322    '
 'MPI11M067 '     0.2520E-01
 'MPI1A067  '     0.2868E-01
 'MPI2A067  '    -0.3518E-02
 'MPI3A067  '     0.5321E-01
 'MPI4A067  '     0.1635E-01
 'MPI5A067  '     0.0000E+00
 'MPI8A067  '     0.0000E+00
 'MPI9A067  '     0.5768E-02
 'MPI79A067 '    -0.3383E-01
 'MPI7FA067 '    -0.4591E-03
 'MPI7NA067 '     0.0000E+00
 'MPI67A067 '     0.7102E-02
 'MPI6FA067 '    -0.3649E-02
 'MPI6NA067 '    -0.1147E-01
 'MPI66M067 '    -0.7347E-02
 'MPI1B067  '     0.7877E-02
 'MPI2B067  '     0.1763E-01
 'MPI3B067  '     0.0000E+00
 'MPI4B067  '    -0.3670E-02
 'MPI5B067  '     0.0000E+00
 'MPI8B067  '    -0.2844E-01
 'MPI89B067 '     0.3241E-04
 'MPI9B067  '     0.5729E-02
 'MPI79B067 '     0.2256E-01
 'MPI7FB067 '    -0.5584E-02
 'MPI7NB067 '    -0.1258E-01
 'MPI67B067 '    -0.2876E-02
 'MPI6FB067 '    -0.4209E-02
 'MPI6NB067 '    -0.5901E-02
 'MPI8A322  '    -0.7546E-04
 'MPI89A322 '    -0.3025E-02
 'MPI9A322  '     0.1092E-02
 'MPI79FA322'     0.2041E-02
 'MPI79NA322'    -0.3717E-03
 'MPI7FA322 '     0.1083E-02
 'MPI7NA322 '     0.7574E-03
 'MPI67A322 '     0.7531E-03
 'MPI6FA322 '    -0.1082E-02
 'MPI6NA322 '     0.1615E-02
 'MPI66M322 '     0.2979E-04
 'MPI6NB322 '    -0.8236E-04
 'MPI6FB322 '     0.1002E-02
 'MPI67B322 '     0.1117E-02
 'MPI7NB322 '    -0.1267E-02
 'MPI7FB322 '    -0.2275E-02
 'MPI79B322 '     0.1028E-01
 'MPI9B322  '     0.5100E-02
 'MPI89B322 '    -0.3963E-02
 'MPI8B322  '    -0.4028E-02
 'MPI5B322  '    -0.2342E-02
 'MPI4B322  '     0.1189E-02
 'MPI3B322  '    -0.2668E-02
 'MPI2B322  '    -0.5859E-02
 'MPI1B322  '    -0.3991E-02
 'MPI11M322 '     0.4712E-03
 'MPI1A322  '    -0.5330E-02
 'MPI2A322  '     0.9156E-05
 'MPI3A322  '    -0.1069E-02
 'MPI4A322  '     0.4145E-02
 'MPI5A322  '    -0.9008E-02
 'MPI1U157  '     0.4432E-02
 'MPI2U157  '     0.1846E-01
 'MPI3U157  '    -0.8221E-01
 'MPI4U157  '    -0.5976E-03
 'DSL1U180  '    -0.8493E-02
 'DSL2U180  '     0.8849E-02
 'DSL3U180  '    -0.4622E-02
 'DSL4U157  '     0.4995E-02
 'MPI5U157  '    -0.0000E-03
 'MPI6U157  '    -0.0000E-02
 'MPI7U157  '     0.0000E-02
 'DSL5U157  '    -0.0000E-02
 'DSL6U157  '     0.0000E-02
 'PSF1A     '    0.00e-00
 'PSF2A     '    0.00e-00
 'PSF3A     '    0.00e-00
 'PSF4A     '    0.00e-00
 'PSF5A     '    0.00e-00
 'PSF6NA    '    0.00e-00
 'PSF7NA    '    0.00e-00
 'PSF8A     '    0.00e-00
 'PSF9A     '    0.00e-00
 'PSF1B     '    0.00e-00
 'PSF2B     '    0.00e-00
 'PSF3B     '    0.00e-00
 'PSF4B     '    0.00e-00
 'PSF5B     '    0.00e-00
